2016-06-02 21:55:30.7724|WARN|thread: 1|StandardUserErrors|Showing user error Failed to create a new commit.
System.ArgumentNullException: Failed Null Check on 'commitModel'
參數名稱: commitModel
   於 GitHub.Helpers.Ensure.ArgumentNotNull(Object value, String name)
   於 GitHub.ViewModels.CommitViewModel..ctor(IRepositoryModel repository, ICommitModel commitModel, ICommittedFileForklift committedFileForklift, IAvatarProvider avatarProvider, IInlineTextProvider inlineTextProvider)
   於 GitHub.Helpers.CommitCreator.<>c__DisplayClass2.<CreateCommit>b__1(<>f__AnonymousType0`2 x)
   於 System.Reactive.Linq.ObservableImpl.Select`2._.OnNext(TSource value)
2016-06-02 21:00:38.7016|INFO|thread:13|AsyncReaderWriterLock|Released concurrent scheduler for operation: 372 at GitClient.cs:497 after blocking 0.1049757s
2016-06-02 21:00:43.4472|INFO|thread:31|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 373 at GitClient.cs:497
2016-06-02 21:00:43.4472|INFO|thread:36|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 373 at GitClient.cs:497 after waiting 8.83E-05s
2016-06-02 21:00:43.5255|INFO|thread:41|AsyncReaderWriterLock|Released concurrent scheduler for operation: 373 at GitClient.cs:497 after blocking 0.0780646s
2016-06-02 21:00:43.7400|INFO|thread: 4|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 374 at BranchSynchronizer.cs:141
2016-06-02 21:00:43.7400|INFO|thread:31|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 374 at BranchSynchronizer.cs:141 after waiting 9.08E-05s
2016-06-02 21:00:43.8011|INFO|thread:36|GitEnvironment|Process set up with this SSH Agent info: 2928:/tmp/ssh-rOTf9N9G4sCX/agent.4944
2016-06-02 21:00:43.8011|INFO|thread:36|GitEnvironment|PATH is C:\Users\J.H\AppData\Local\GitHub\PortableGit_d76a6a98c9315931ec4927243517bc09e9b731a0\cmd;C:\Users\J.H\AppData\Local\GitHub\PortableGit_d76a6a98c9315931ec4927243517bc09e9b731a0\usr\bin;C:\Users\J.H\AppData\Local\GitHub\PortableGit_d76a6a98c9315931ec4927243517bc09e9b731a0\usr\share\git-tfs;C:\Users\J.H\AppData\Local\Apps\2.0\M8CTZ5K4.QJV\CYZHLTRN.O06\gith..tion_317444273a93ac29_0003.0001_cbe40ecbe3e419d4;C:\Users\J.H\AppData\Local\GitHub\lfs-amd64_1.2.0;C:\Windows\System32;C:\Program Files (x86)\MSBuild\14.0\bin\;C:\Program Files (x86)\Microsoft SDKs\Windows\v8.1A\bin\NETFX 4.5.1 Tools\x64;C:\Program Files (x86)\Microsoft SDKs\F#\4.0\Framework\v4.0\
2016-06-02 21:00:43.8011|INFO|thread:36|ProcessWrapper|Starting: Process - FileName: 'C:\Users\J.H\AppData\Local\GitHub\PortableGit_d76a6a98c9315931ec4927243517bc09e9b731a0\cmd\git.exe', Args: 'fetch --prune --recurse-submodules=on-demand origin ', Working Directory: C:\Users\J.H\Desktop\Coding\GitHub\android_class_267\
2016-06-02 21:00:44.6995|INFO|thread:42|BackgroundFetcher|Got a refresh period for C:\Users\J.H\Desktop\Coding\GitHub\android_class_267\.git of 300 seconds
2016-06-02 21:00:44.6995|INFO|thread:42|BackgroundFetcher|Added a delay for C:\Users\J.H\Desktop\Coding\GitHub\android_class_267\.git of 23898 milliseconds
2016-06-02 21:00:44.7553|INFO|thread:32|NewPullRequestViewModel|No matching pull request found, clearing selection...
2016-06-02 21:00:44.7553|INFO|thread: 1|NewPullRequestViewModel|No matching pull request found, clearing selection...
2016-06-02 21:00:44.8575|INFO|thread: 1|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 375 at GitClient.cs:623
2016-06-02 21:00:44.8575|INFO|thread: 4|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 375 at GitClient.cs:623 after waiting 0.0001105s
2016-06-02 21:00:44.8866|INFO|thread:43|AsyncReaderWriterLock|Released concurrent scheduler for operation: 375 at GitClient.cs:623 after blocking 0.0288132s
2016-06-02 21:00:45.5946|INFO|thread:41|ConcurrentRepositoryConnection|Pruning merged local branches
2016-06-02 21:00:45.5946|INFO|thread:41|GitEnvironment|Process set up with this SSH Agent info: 2928:/tmp/ssh-rOTf9N9G4sCX/agent.4944
2016-06-02 21:00:45.5946|INFO|thread:41|GitEnvironment|PATH is C:\Users\J.H\AppData\Local\GitHub\PortableGit_d76a6a98c9315931ec4927243517bc09e9b731a0\cmd;C:\Users\J.H\AppData\Local\GitHub\PortableGit_d76a6a98c9315931ec4927243517bc09e9b731a0\usr\bin;C:\Users\J.H\AppData\Local\GitHub\PortableGit_d76a6a98c9315931ec4927243517bc09e9b731a0\usr\share\git-tfs;C:\Users\J.H\AppData\Local\Apps\2.0\M8CTZ5K4.QJV\CYZHLTRN.O06\gith..tion_317444273a93ac29_0003.0001_cbe40ecbe3e419d4;C:\Users\J.H\AppData\Local\GitHub\lfs-amd64_1.2.0;C:\Windows\System32;C:\Program Files (x86)\MSBuild\14.0\bin\;C:\Program Files (x86)\Microsoft SDKs\Windows\v8.1A\bin\NETFX 4.5.1 Tools\x64;C:\Program Files (x86)\Microsoft SDKs\F#\4.0\Framework\v4.0\
2016-06-02 21:00:45.5946|INFO|thread:41|ProcessWrapper|Starting: Process - FileName: 'C:\Users\J.H\AppData\Local\GitHub\PortableGit_d76a6a98c9315931ec4927243517bc09e9b731a0\cmd\git.exe', Args: 'branch --merged master ', Working Directory: C:\Users\J.H\Desktop\Coding\GitHub\android_class_267\
2016-06-02 21:00:45.6208|INFO|thread:41|GitEnvironment|Process set up with this SSH Agent info: 2928:/tmp/ssh-rOTf9N9G4sCX/agent.4944
2016-06-02 21:00:45.6208|INFO|thread:41|GitEnvironment|PATH is C:\Users\J.H\AppData\Local\GitHub\PortableGit_d76a6a98c9315931ec4927243517bc09e9b731a0\cmd;C:\Users\J.H\AppData\Local\GitHub\PortableGit_d76a6a98c9315931ec4927243517bc09e9b731a0\usr\bin;C:\Users\J.H\AppData\Local\GitHub\PortableGit_d76a6a98c9315931ec4927243517bc09e9b731a0\usr\share\git-tfs;C:\Users\J.H\AppData\Local\Apps\2.0\M8CTZ5K4.QJV\CYZHLTRN.O06\gith..tion_317444273a93ac29_0003.0001_cbe40ecbe3e419d4;C:\Users\J.H\AppData\Local\GitHub\lfs-amd64_1.2.0;C:\Windows\System32;C:\Program Files (x86)\MSBuild\14.0\bin\;C:\Program Files (x86)\Microsoft SDKs\Windows\v8.1A\bin\NETFX 4.5.1 Tools\x64;C:\Program Files (x86)\Microsoft SDKs\F#\4.0\Framework\v4.0\
2016-06-02 21:00:45.6208|INFO|thread:41|ProcessWrapper|Starting: Process - FileName: 'C:\Users\J.H\AppData\Local\GitHub\PortableGit_d76a6a98c9315931ec4927243517bc09e9b731a0\cmd\git.exe', Args: 'log -g --abbrev-commit --pretty=oneline HEAD -n 2500 ', Working Directory: C:\Users\J.H\Desktop\Coding\GitHub\android_class_267\
2016-06-02 21:00:45.7335|INFO|thread:21|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 376 at GitClient.cs:201
2016-06-02 21:00:45.7335|INFO|thread: 4|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 376 at GitClient.cs:201 after waiting 4.82E-05s
2016-06-02 21:00:45.7335|INFO|thread:21|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 377 at RepositoryModel.cs:596
2016-06-02 21:00:45.7335|INFO|thread:41|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 377 at RepositoryModel.cs:596 after waiting 3.75E-05s
2016-06-02 21:00:45.7335|INFO|thread:21|AsyncReaderWriterLock|Released concurrent scheduler for operation: 374 at BranchSynchronizer.cs:141 after blocking 1.9943406s
2016-06-02 21:00:45.7656|INFO|thread:13|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 378 at GitClient.cs:290
2016-06-02 21:00:45.7656|INFO|thread:31|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 378 at GitClient.cs:290 after waiting 5.07E-05s
2016-06-02 21:00:45.7656|INFO|thread:13|AsyncReaderWriterLock|Released concurrent scheduler for operation: 377 at RepositoryModel.cs:596 after blocking 0.0316565s
2016-06-02 21:00:45.7656|INFO|thread:29|AsyncReaderWriterLock|Released concurrent scheduler for operation: 376 at GitClient.cs:201 after blocking 0.0394995s
2016-06-02 21:00:45.7846|INFO|thread:21|GitEnvironment|Process set up with this SSH Agent info: 2928:/tmp/ssh-rOTf9N9G4sCX/agent.4944
2016-06-02 21:00:45.7846|INFO|thread:21|GitEnvironment|PATH is C:\Users\J.H\AppData\Local\GitHub\PortableGit_d76a6a98c9315931ec4927243517bc09e9b731a0\cmd;C:\Users\J.H\AppData\Local\GitHub\PortableGit_d76a6a98c9315931ec4927243517bc09e9b731a0\usr\bin;C:\Users\J.H\AppData\Local\GitHub\PortableGit_d76a6a98c9315931ec4927243517bc09e9b731a0\usr\share\git-tfs;C:\Users\J.H\AppData\Local\Apps\2.0\M8CTZ5K4.QJV\CYZHLTRN.O06\gith..tion_317444273a93ac29_0003.0001_cbe40ecbe3e419d4;C:\Users\J.H\AppData\Local\GitHub\lfs-amd64_1.2.0;C:\Windows\System32;C:\Program Files (x86)\MSBuild\14.0\bin\;C:\Program Files (x86)\Microsoft SDKs\Windows\v8.1A\bin\NETFX 4.5.1 Tools\x64;C:\Program Files (x86)\Microsoft SDKs\F#\4.0\Framework\v4.0\
